Track,Driver,GridPosition,Stint,Compound,StintLength
Dutch,RUS,4.0,3.0,SOFT,18.0
Dutch,SAI,10.0,1.0,MEDIUM,30.0
Dutch,SAI,10.0,2.0,HARD,42.0
Dutch,SAR,18.0,1.0,MEDIUM,22.0
Dutch,SAR,18.0,2.0,HARD,49.0
Dutch,STR,8.0,1.0,MEDIUM,30.0
Dutch,STR,8.0,2.0,HARD,41.0
Dutch,TSU,11.0,1.0,SOFT,14.0
Dutch,TSU,11.0,2.0,MEDIUM,18.0
Dutch,TSU,11.0,3.0,HARD,39.0
Dutch,VER,2.0,1.0,MEDIUM,27.0
Dutch,VER,2.0,2.0,HARD,45.0
Dutch,ZHO,17.0,1.0,MEDIUM,18.0
Dutch,ZHO,17.0,2.0,HARD,33.0
Dutch,ZHO,17.0,3.0,SOFT,19.0
Monza,ALB,9.0,1.0,MEDIUM,17.0
