Season,EventName,Driver,LapNumber,TotalLaps,TyreLife,Compound,TrackStatus,StintID,LapTimeSeconds,FuelLoadKgEst,FuelCorrection,AirTemp,TrackTemp,ThermalDegProxy,MechWearProxy,LapFrac
2025,Abu Dhabi Grand Prix,ALO,35,58,20.0,HARD,1,2,89.764,42.2,-1.266,26.67402597402597,31.06168831168831,17.749536178107604,21.810344827586206,0.603448275862069
2025,Abu Dhabi Grand Prix,ALO,36,58,21.0,HARD,1,2,89.819,40.5,-1.2149999999999999,26.67402597402597,31.06168831168831,18.637012987012987,22.955172413793104,0.6206896551724138
2025,Abu Dhabi Grand Prix,ALO,37,58,22.0,HARD,1,2,90.3,38.800000000000004,-1.1640000000000001,26.67402597402597,31.06168831168831,19.524489795918367,24.105172413793102,0.6379310344827587
2025,Abu Dhabi Grand Prix,ALO,38,58,23.0,HARD,1,2,90.512,37.1,-1.113,26.67402597402597,31.06168831168831,20.411966604823746,25.260344827586206,0.6551724137931034
2025,Abu Dhabi Grand Prix,ALO,39,58,24.0,HARD,1,2,90.101,35.400000000000006,-1.062,26.67402597402597,31.06168831168831,21.299443413729126,26.420689655172417,0.6724137931034483
2025,Abu Dhabi Grand Prix,ALO,40,58,25.0,HARD,1,2,89.984,33.7,-1.0110000000000001,26.67402597402597,31.06168831168831,22.186920222634505,27.586206896551722,0.6896551724137931
2025,Abu Dhabi Grand Prix,ALO,41,58,26.0,HARD,1,2,89.527,32.0,-0.96,26.67402597402597,31.06168831168831,23.07439703153989,28.756896551724136,0.7068965517241379
2025,Abu Dhabi Grand Prix,ALO,42,58,27.0,HARD,1,2,88.948,30.299999999999997,-0.9089999999999999,26.67402597402597,31.06168831168831,23.961873840445268,29.932758620689658,0.7241379310344828
2025,Abu Dhabi Grand Prix,ALO,43,58,28.0,HARD,1,2,89.638,28.60000000000001,-0.8580000000000002,26.67402597402597,31.06168831168831,24.849350649350647,31.113793103448273,0.7413793103448276
2025,Abu Dhabi Grand Prix,ALO,44,58,29.0,HARD,1,2,89.13,26.900000000000006,-0.8070000000000002,26.67402597402597,31.06168831168831,25.736827458256027,32.3,0.7586206896551724
2025,Abu Dhabi Grand Prix,ALO,45,58,30.0,HARD,1,2,89.355,25.200000000000003,-0.756,26.67402597402597,31.06168831168831,26.62430426716141,33.491379310344826,0.7758620689655172
2025,Abu Dhabi Grand Prix,ALO,46,58,31.0,HARD,1,2,89.235,23.5,-0.705,26.67402597402597,31.06168831168831,27.51178107606679,34.68793103448276,0.7931034482758621
2025,Abu Dhabi Grand Prix,ALO,47,58,32.0,HARD,1,2,89.12,21.799999999999997,-0.6539999999999999,26.67402597402597,31.06168831168831,28.39925788497217,35.889655172413796,0.8103448275862069
2025,Abu Dhabi Grand Prix,ALO,48,58,33.0,HARD,1,2,89.446,20.10000000000001,-0.6030000000000002,26.67402597402597,31.06168831168831,29.28673469387755,37.09655172413793,0.8275862068965517
2025,Abu Dhabi Grand Prix,ALO,49,58,34.0,HARD,1,2,89.32,18.400000000000006,-0.5520000000000002,26.67402597402597,31.06168831168831,30.174211502782928,38.30862068965517,0.8448275862068966
2025,Abu Dhabi Grand Prix,ALO,50,58,35.0,HARD,1,2,89.006,16.700000000000003,-0.5010000000000001,26.67402597402597,31.06168831168831,31.06168831168831,39.52586206896552,0.8620689655172413
2025,Abu Dhabi Grand Prix,ALO,51,58,36.0,HARD,1,2,88.514,15.0,-0.44999999999999996,26.67402597402597,31.06168831168831,31.94916512059369,40.748275862068965,0.8793103448275862
2025,Abu Dhabi Grand Prix,ALO,52,58,37.0,HARD,1,2,89.085,13.299999999999997,-0.3989999999999999,26.67402597402597,31.06168831168831,32.83664192949907,41.97586206896551,0.896551724137931
2025,Abu Dhabi Grand Prix,ALO,53,58,38.0,HARD,1,2,88.557,11.600000000000009,-0.34800000000000025,26.67402597402597,31.06168831168831,33.72411873840445,43.20862068965518,0.9137931034482759
2025,Abu Dhabi Grand Prix,ALO,54,58,39.0,HARD,1,2,88.279,9.900000000000006,-0.29700000000000015,26.67402597402597,31.06168831168831,34.61159554730983,44.44655172413793,0.9310344827586207
2025,Abu Dhabi Grand Prix,ALO,55,58,40.0,HARD,1,2,88.393,8.200000000000003,-0.24600000000000008,26.67402597402597,31.06168831168831,35.49907235621521,45.689655172413794,0.9482758620689655
2025,Abu Dhabi Grand Prix,ALO,56,58,41.0,HARD,1,2,88.777,6.5,-0.195,26.67402597402597,31.06168831168831,36.38654916512059,46.93793103448276,0.9655172413793104
2025,Abu Dhabi Grand Prix,ALO,57,58,42.0,HARD,1,2,89.116,4.799999999999997,-0.1439999999999999,26.67402597402597,31.06168831168831,37.274025974025975,48.19137931034483,0.9827586206896551
2025,Abu Dhabi Grand Prix,ALO,58,58,43.0,HARD,1,2,89.246,3.1000000000000085,-0.09300000000000025,26.67402597402597,31.06168831168831,38.16150278293135,49.449999999999996,1.0
2025,Abu Dhabi Grand Prix,ANT,1,58,1.0,HARD,1,1,100.726,100.0,-3.0,26.67402597402597,31.06168831168831,0.8874768089053803,1.0025862068965516,0.017241379310344827
2025,Abu Dhabi Grand Prix,ANT,2,58,2.0,HARD,1,1,91.715,98.3,-2.949,26.67402597402597,31.06168831168831,1.7749536178107606,2.010344827586207,0.034482758620689655
2025,Abu Dhabi Grand Prix,ANT,3,58,3.0,HARD,1,1,90.492,96.6,-2.8979999999999997,26.67402597402597,31.06168831168831,2.6624304267161407,3.0232758620689655,0.05172413793103448
2025,Abu Dhabi Grand Prix,ANT,4,58,4.0,HARD,1,1,90.524,94.9,-2.847,26.67402597402597,31.06168831168831,3.549907235621521,4.041379310344827,0.06896551724137931
2025,Abu Dhabi Grand Prix,ANT,5,58,5.0,HARD,1,1,90.707,93.2,-2.796,26.67402597402597,31.06168831168831,4.437384044526901,5.064655172413794,0.08620689655172414
2025,Abu Dhabi Grand Prix,ANT,6,58,6.0,HARD,1,1,90.26,91.5,-2.745,26.67402597402597,31.06168831168831,5.324860853432281,6.093103448275862,0.10344827586206896
2025,Abu Dhabi Grand Prix,ANT,7,58,7.0,HARD,1,1,90.308,89.8,-2.694,26.67402597402597,31.06168831168831,6.212337662337662,7.126724137931034,0.1206896551724138
2025,Abu Dhabi Grand Prix,ANT,8,58,8.0,HARD,1,1,90.441,88.1,-2.643,26.67402597402597,31.06168831168831,7.099814471243042,8.16551724137931,0.13793103448275862
2025,Abu Dhabi Grand Prix,ANT,9,58,9.0,HARD,1,1,90.028,86.4,-2.592,26.67402597402597,31.06168831168831,7.987291280148423,9.20948275862069,0.15517241379310345
2025,Abu Dhabi Grand Prix,ANT,10,58,10.0,HARD,1,1,90.088,84.7,-2.541,26.67402597402597,31.06168831168831,8.874768089053802,10.258620689655174,0.1724137931034483
2025,Abu Dhabi Grand Prix,ANT,11,58,11.0,HARD,1,1,90.655,83.0,-2.4899999999999998,26.67402597402597,31.06168831168831,9.762244897959183,11.312931034482759,0.1896551724137931
2025,Abu Dhabi Grand Prix,ANT,12,58,12.0,HARD,1,1,91.066,81.3,-2.4389999999999996,26.67402597402597,31.06168831168831,10.649721706864563,12.372413793103448,0.20689655172413793
2025,Abu Dhabi Grand Prix,ANT,13,58,13.0,HARD,1,1,90.976,79.6,-2.388,26.67402597402597,31.06168831168831,11.537198515769944,13.437068965517243,0.22413793103448276
2025,Abu Dhabi Grand Prix,ANT,14,58,14.0,HARD,1,1,91.109,77.9,-2.337,26.67402597402597,31.06168831168831,12.424675324675324,14.506896551724138,0.2413793103448276
2025,Abu Dhabi Grand Prix,ANT,15,58,15.0,HARD,1,1,90.93,76.2,-2.286,26.67402597402597,31.06168831168831,13.312152133580705,15.581896551724137,0.25862068965517243
2025,Abu Dhabi Grand Prix,ANT,16,58,16.0,HARD,1,1,91.12,74.5,-2.235,26.67402597402597,31.06168831168831,14.199628942486084,16.662068965517243,0.27586206896551724
2025,Abu Dhabi Grand Prix,ANT,17,58,17.0,HARD,1,1,91.12,72.8,-2.1839999999999997,26.67402597402597,31.06168831168831,15.087105751391464,17.747413793103448,0.29310344827586204
2025,Abu Dhabi Grand Prix,ANT,18,58,18.0,HARD,1,1,91.805,71.1,-2.1329999999999996,26.67402597402597,31.06168831168831,15.974582560296845,18.837931034482757,0.3103448275862069
2025,Abu Dhabi Grand Prix,ANT,19,58,19.0,HARD,1,1,91.119,69.4,-2.0820000000000003,26.67402597402597,31.06168831168831,16.862059369202225,19.933620689655175,0.3275862068965517
2025,Abu Dhabi Grand Prix,ANT,20,58,20.0,HARD,1,1,91.744,67.7,-2.031,26.67402597402597,31.06168831168831,17.749536178107604,21.03448275862069,0.3448275862068966
2025,Abu Dhabi Grand Prix,ANT,21,58,21.0,HARD,1,1,91.807,66.0,-1.98,26.67402597402597,31.06168831168831,18.637012987012987,22.140517241379307,0.3620689655172414
2025,Abu Dhabi Grand Prix,ANT,22,58,22.0,HARD,1,1,90.518,64.30000000000001,-1.9290000000000003,26.67402597402597,31.06168831168831,19.524489795918367,23.251724137931035,0.3793103448275862
2025,Abu Dhabi Grand Prix,ANT,23,58,23.0,HARD,1,1,90.129,62.6,-1.878,26.67402597402597,31.06168831168831,20.411966604823746,24.36810344827586,0.39655172413793105
2025,Abu Dhabi Grand Prix,ANT,24,58,24.0,HARD,1,1,91.287,60.9,-1.827,26.67402597402597,31.06168831168831,21.299443413729126,25.48965517241379,0.41379310344827586
2025,Abu Dhabi Grand Prix,ANT,25,58,25.0,HARD,1,1,90.2,59.2,-1.776,26.67402597402597,31.06168831168831,22.186920222634505,26.61637931034483,0.43103448275862066
2025,Abu Dhabi Grand Prix,ANT,26,58,26.0,HARD,1,1,89.821,57.5,-1.7249999999999999,26.67402597402597,31.06168831168831,23.07439703153989,27.748275862068965,0.4482758620689655
